,AAP,AMZN,APTV,AZO,BBY,HRB,BKNG,BWA,CPRI,KMX,CCL,CMG,DHI,DRI,DG,DLTR,EBAY,EXPE,FL,F,GPS,GRMN,GM,GPC,HBI,HOG,HAS,HLT,HD,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NWL,NKE,JWN,NCLH,ORLY,RL,PHM,PVH,ROST,RCL,SBUX,TPR,TGT,TIF,TJX,TSCO,ULTA,UAA,UA,VFC,WHR,WYNN,YUM
1998-01-02,,59.5,,28.81,36.38,44.25,,51.69,,9.563,54.38,,17.06,11.81,,38.94,,,20.31,48.25,34.94,,,33.69,,27.31,30.83,,58.5,67.94,25.25,42.5,21.5,,47.38,42.31,30.91,37.75,47.63,35.94,22.13,42.63,40.06,58.5,,24.75,24.0,42.5,14.06,36.13,52.5,37.63,,68.25,36.38,33.06,14.75,,,,45.81,53.94,,29.13
1998-01-05,,57.0,,28.13,38.13,42.81,,51.63,,9.375,55.0,,16.75,12.0,,38.25,,,20.81,48.5,35.38,,,34.0,,26.88,31.26,,57.69,68.88,25.38,42.19,21.81,,47.06,41.88,31.13,36.63,47.5,35.06,21.56,42.75,42.81,59.13,,25.63,24.63,43.75,13.88,36.06,52.06,37.13,,69.12,36.88,33.69,14.75,,,,46.19,54.75,,28.25
1998-01-06,,58.06,,27.38,37.88,41.06,,51.81,,9.25,54.0,,17.31,12.06,,38.13,,,20.75,47.69,35.13,,,33.75,,26.25,32.56,,58.06,67.5,25.69,42.25,21.63,,46.88,41.5,30.71,37.5,47.63,34.56,21.69,41.88,42.75,59.75,,27.63,24.38,43.44,13.88,35.63,51.31,35.69,,69.31,37.75,32.75,14.75,,,,45.94,55.25,,27.06
1998-01-07,,57.38,,27.25,41.75,42.25,,52.0,,8.5,55.5,,17.81,12.19,,38.38,,,20.31,47.12,35.63,,,33.56,,26.56,31.7,,58.69,67.63,25.88,42.06,21.5,,45.88,41.44,30.85,36.25,47.25,35.0,21.63,41.63,42.38,56.91,,27.75,24.13,42.88,13.69,35.38,51.0,34.69,,68.25,38.38,32.88,14.0,,,,46.25,53.81,,27.0
1998-01-08,,55.38,,27.06,42.25,41.94,,51.31,,7.813,55.63,,18.06,12.19,,38.31,,,20.81,45.06,37.0,,,34.12,,26.0,31.57,,58.44,68.38,26.44,42.19,21.5,,45.31,43.31,30.54,36.0,46.38,34.5,21.38,42.63,42.19,58.63,,28.0,24.13,42.81,13.25,36.0,51.0,35.75,,68.88,38.25,33.69,14.0,,,,46.0,54.13,,25.94
1998-01-09,,51.13,,26.0,40.75,40.31,,49.63,,7.563,53.25,,17.56,12.13,,36.84,,,19.69,43.75,36.0,,,33.19,,26.19,30.34,,56.38,66.25,26.0,42.38,21.0,,44.13,41.81,28.78,35.63,45.38,34.0,20.5,41.0,39.5,58.25,,27.06,23.44,41.0,12.56,36.13,50.0,35.13,,66.94,36.56,32.25,13.94,,,,44.06,52.19,,26.0
1998-01-12,,51.63,,25.56,43.44,41.5,,49.63,,7.938,53.19,,18.19,12.13,,37.75,,,18.94,45.25,36.25,,,33.62,,26.12,30.96,,58.13,67.06,25.75,42.75,21.13,,44.0,41.63,28.1,37.06,46.38,33.63,20.88,41.19,39.94,56.84,,27.0,23.0,41.88,12.81,36.0,50.5,35.13,,68.06,36.94,31.31,14.0,,,,45.19,50.5,,26.13
1998-01-13,,55.75,,24.31,43.44,41.81,,50.88,,7.75,52.5,,18.88,12.5,,38.75,,,19.19,47.12,37.63,,,34.06,,25.94,32.31,,59.13,68.0,26.0,42.44,21.44,,45.13,42.94,28.95,37.94,47.13,33.88,22.19,42.06,40.94,52.88,,27.13,23.25,42.81,12.56,36.38,51.12,35.56,,69.44,37.63,33.25,13.75,,,,45.56,53.88,,26.13
1998-01-14,,58.5,,25.44,44.56,41.88,,51.69,,7.688,53.0,,19.38,12.63,,37.5,,,20.0,48.5,37.69,,,34.0,,26.12,32.37,,59.69,68.06,26.5,43.06,21.69,,45.88,42.5,29.57,39.13,47.06,34.94,22.88,41.5,41.19,51.0,,28.44,24.75,43.5,12.63,36.94,52.5,35.19,,69.75,38.19,33.81,14.25,,,,45.44,54.94,,26.13
1998-01-15,,59.44,,26.69,45.5,41.88,,52.69,,7.375,53.0,,19.38,12.69,,36.38,,,19.75,48.62,38.13,,,33.75,,26.5,32.31,,59.31,70.31,26.69,43.5,21.81,,45.25,42.94,29.55,39.44,46.81,36.25,22.56,41.06,41.38,49.5,,28.19,24.63,42.69,11.88,36.88,52.75,34.0,,69.5,38.0,34.69,14.25,,,,45.06,54.5,,26.75
1998-01-16,,57.5,,27.56,45.75,42.75,,52.44,,7.5,54.25,,19.5,12.88,,35.88,,,19.94,49.0,38.63,,,33.81,,26.31,32.87,,59.31,69.63,26.56,44.56,20.81,,46.81,43.06,30.14,39.38,47.56,37.88,23.44,41.38,41.19,44.88,,28.75,25.06,43.81,12.31,36.75,52.38,34.03,,70.19,38.06,35.44,14.0,,,,45.63,54.19,,26.94
1998-01-20,,59.44,,27.44,46.0,42.88,,53.19,,7.375,55.0,,20.25,12.69,,36.38,,,20.06,48.62,41.13,,,34.0,,27.25,34.96,,60.75,72.19,27.25,46.0,21.5,,47.63,44.13,31.3,40.75,48.0,37.0,23.5,42.0,41.69,47.0,,28.88,25.88,43.5,11.69,35.88,53.31,35.13,,73.69,38.56,36.06,14.0,,,,46.06,56.19,,27.75
1998-01-21,,60.88,,27.0,46.75,42.19,,53.81,,7.125,54.88,,20.06,12.69,,36.25,,,20.31,49.31,40.06,,,33.75,,26.5,34.29,,60.69,71.19,26.75,45.44,21.81,,47.88,43.88,31.36,39.81,47.38,36.81,22.94,41.0,41.63,47.56,,27.75,26.25,43.25,11.88,35.38,52.62,34.13,,72.75,38.13,35.38,14.63,,,,45.56,55.94,,27.38
