,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,COTY,EL,GIS,HSY,HRL,SJM,K,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,TSN,WMT,WBA
1998-01-02,59.38,28.5,79.12,66.94,73.25,33.19,55.5,44.0,,51.31,72.31,61.63,32.94,24.12,49.69,49.81,,36.56,,28.37,33.69,,1.81,36.0,,80.94,44.69,20.81,39.38,30.94
1998-01-05,58.69,28.81,79.12,66.44,74.88,30.81,55.63,44.88,,52.06,71.94,61.31,32.19,24.38,48.75,49.0,,35.19,,29.37,33.0,,1.781,36.5,,82.56,44.5,20.19,39.75,31.0
1998-01-06,56.56,28.56,78.06,66.13,71.94,31.0,55.38,43.88,,52.0,72.06,61.94,31.75,24.12,49.56,48.25,,35.63,,28.62,32.38,,1.75,35.19,,82.31,45.06,19.81,40.0,30.81
1998-01-07,55.75,28.81,77.31,66.19,71.63,31.0,56.0,43.44,,50.63,70.75,62.0,32.19,24.0,49.0,49.25,,35.81,,28.81,31.81,,1.719,35.88,,81.44,46.31,19.31,39.88,30.75
1998-01-08,55.38,28.56,76.88,66.63,69.75,31.06,57.0,44.81,,50.88,70.5,62.0,32.19,24.0,48.75,48.56,,36.0,,28.62,30.5,,1.813,35.88,,80.5,45.44,19.56,39.31,30.06
1998-01-09,53.0,27.69,77.5,64.13,68.0,30.81,54.84,43.5,,50.06,69.75,60.44,31.31,24.12,47.69,47.5,,34.44,,28.37,29.63,,1.625,34.75,,78.88,44.25,20.06,38.19,30.13
1998-01-12,55.44,27.69,77.0,66.06,67.88,32.06,55.44,43.75,,49.5,71.13,61.81,31.06,23.88,48.75,50.0,,35.31,,28.75,30.25,,1.5,35.38,,82.31,44.88,19.81,39.5,31.19
1998-01-13,55.0,27.44,77.12,65.38,68.0,32.19,58.5,43.56,,50.5,70.75,62.38,31.81,23.88,48.88,52.25,,35.5,,30.19,32.81,,1.5,36.5,,81.13,44.63,19.31,39.5,31.25
1998-01-14,55.13,27.81,79.06,64.63,69.44,32.13,56.5,43.31,,50.81,71.88,62.06,31.44,24.0,48.44,51.25,,35.63,,29.87,30.63,,1.469,36.69,,80.56,45.13,18.69,39.69,32.19
1998-01-15,53.94,27.88,77.5,63.75,69.19,32.38,54.0,43.0,,50.25,71.94,61.5,31.13,24.38,48.5,50.75,,35.38,,29.37,31.5,,1.625,35.94,,79.94,45.0,18.44,39.94,31.5
1998-01-16,54.94,28.0,77.5,65.0,70.69,32.38,54.06,44.5,,50.5,72.63,61.5,32.06,24.75,48.94,51.94,,36.06,,29.75,31.38,,1.688,36.69,,79.31,45.38,18.31,40.13,32.44
1998-01-20,55.06,28.31,76.44,65.94,71.06,32.88,56.75,45.5,,52.63,73.25,62.0,32.5,25.0,49.44,52.88,,36.44,,29.0,32.0,,1.656,37.63,,80.75,46.31,18.56,41.75,33.63
1998-01-21,54.38,27.94,75.06,65.5,70.0,32.5,56.75,44.5,,51.94,74.13,61.81,32.63,24.62,48.44,53.06,,36.0,,28.25,31.88,,1.75,37.0,,81.0,45.94,19.13,40.69,32.88
1998-01-22,53.25,26.75,76.69,65.44,69.44,31.63,56.06,44.63,,50.56,73.88,61.06,32.63,24.12,48.94,53.19,,37.94,,28.31,31.38,,1.563,36.88,,79.88,46.56,19.56,40.0,33.19
1998-01-23,54.19,27.44,75.94,63.81,69.06,31.5,54.44,43.38,,49.75,73.44,60.13,32.44,24.0,48.25,52.94,,37.5,,28.56,30.91,,1.563,36.31,,78.38,46.0,19.5,39.5,32.94
1998-01-26,54.31,27.44,76.12,63.06,69.81,32.25,51.38,42.13,,49.88,73.38,59.81,32.69,24.0,48.44,52.69,,38.06,,28.62,32.06,,1.719,36.44,,78.5,46.0,19.5,38.69,32.44
1998-01-27,54.69,28.0,76.44,63.25,70.63,33.06,52.63,43.56,,52.0,74.19,60.44,32.69,24.38,48.81,52.38,,38.13,,29.31,32.56,,1.656,36.06,,80.88,46.44,18.75,39.31,32.75
1998-01-28,54.81,27.94,76.06,64.13,71.5,32.25,52.75,43.25,,55.0,74.5,64.25,32.75,24.88,48.81,52.88,,38.25,,29.5,32.06,,1.656,36.44,,79.25,45.25,18.31,40.63,32.88
1998-01-29,55.75,27.31,76.56,64.75,72.31,32.13,53.06,43.44,,54.69,74.81,65.0,33.75,25.38,48.75,53.06,,38.56,,29.37,32.06,,1.625,36.88,,78.0,45.56,18.38,40.19,33.63
1998-01-30,53.5,27.94,76.62,64.75,73.25,31.75,53.38,43.38,,54.94,74.44,63.69,33.25,25.62,46.38,52.19,,39.13,,29.19,31.75,,1.594,36.13,,78.38,44.75,18.06,39.81,33.13
1998-02-02,55.0,27.88,78.12,66.69,74.5,32.31,54.56,44.13,,58.5,73.44,62.75,33.75,26.0,46.0,54.19,,41.06,,29.5,32.06,,1.656,36.5,,79.5,45.94,18.06,40.81,35.06
1998-02-03,54.75,27.44,79.0,67.5,75.75,32.06,53.88,44.69,,59.63,73.5,63.81,33.88,26.25,44.88,54.25,,40.88,,29.44,31.81,,1.625,35.19,,81.31,46.38,18.13,42.0,35.69
