,APC,APA,BHGE,COG,CVX,XEC,CXO,COP,DVN,FANG,EOG,XOM,HAL,HP,HES,HFC,KMI,MRO,MPC,NOV,NBL,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
1998-01-02,59.56,34.06,,19.0,77.94,,,48.0,38.38,,20.63,61.88,51.13,33.19,53.88,27.75,,33.94,,33.75,35.38,29.13,39.69,,28.69,80.69,,31.31,28.69
1998-01-05,58.06,33.13,,18.5,75.69,,,47.13,36.94,,20.0,61.19,47.88,31.25,53.0,27.69,,33.0,,33.0,35.38,28.81,39.13,,27.44,77.63,,31.31,29.19
1998-01-06,55.25,32.5,,17.75,73.75,,,45.19,37.94,,19.63,59.0,45.88,29.94,51.5,27.75,,32.25,,30.25,34.25,27.75,37.63,,27.44,74.81,,30.25,28.56
1998-01-07,56.56,32.19,,18.31,76.38,,,45.5,35.38,,19.81,60.88,47.94,30.13,52.69,27.5,,32.94,,32.94,34.38,27.63,37.06,,25.06,76.19,,30.0,27.94
1998-01-08,55.44,32.0,,18.0,73.5,,,44.56,34.0,,20.0,59.56,45.06,28.75,51.94,27.38,,32.31,,31.0,34.31,26.94,36.5,,24.63,73.63,,30.0,27.31
1998-01-09,54.81,31.44,,17.38,71.13,,,43.25,33.38,,19.06,58.13,42.38,25.31,49.19,26.75,,31.81,,29.88,32.94,26.0,33.88,,23.75,69.75,,28.75,26.94
1998-01-12,52.88,31.63,,17.06,73.31,,,43.56,33.0,,19.31,58.75,42.38,25.5,50.25,26.38,,31.75,,27.38,32.88,25.81,36.81,,23.25,69.56,,27.69,26.69
1998-01-13,56.31,31.88,,18.06,74.63,,,44.69,33.63,,19.75,60.06,44.13,27.31,52.5,26.25,,31.31,,27.0,33.81,26.56,36.38,,24.19,71.88,,28.13,27.13
1998-01-14,57.25,32.56,,18.63,75.5,,,45.0,34.19,,19.81,60.81,44.75,27.63,52.31,26.69,,31.94,,27.0,34.81,26.81,37.0,,24.25,73.63,,28.31,27.0
1998-01-15,56.31,32.5,,18.38,76.06,,,44.5,33.94,,20.0,59.5,44.75,27.31,52.88,27.44,,32.25,,26.69,35.06,27.0,36.5,,24.0,74.56,,28.38,26.63
1998-01-16,59.63,35.0,,19.38,76.75,,,44.88,35.25,,20.25,60.81,46.5,29.0,53.5,27.56,,32.69,,28.0,36.81,27.31,36.25,,24.0,77.94,,28.13,26.94
1998-01-20,61.25,36.31,,20.94,77.94,,,45.13,37.94,,20.81,60.88,48.5,30.31,54.63,27.44,,34.19,,29.44,37.06,27.13,36.38,,24.63,80.13,,28.88,26.94
1998-01-21,61.0,35.06,,19.63,77.0,,,44.81,36.75,,21.25,61.06,48.13,29.38,53.63,27.38,,33.87,,29.0,35.75,27.06,35.63,,24.31,81.5,,31.0,27.31
1998-01-22,56.06,33.0,,18.31,75.44,,,44.25,35.63,,20.31,59.56,43.5,28.88,53.0,27.06,,31.94,,24.81,34.0,26.31,35.63,,23.81,71.56,,30.75,28.5
1998-01-23,54.56,33.25,,18.75,74.0,,,43.75,35.63,,19.94,59.06,43.06,29.0,52.88,26.56,,31.62,,23.88,34.13,25.5,35.38,,22.63,70.25,,29.5,28.63
1998-01-26,56.94,33.5,,18.81,75.56,,,44.13,35.66,,19.88,60.25,44.0,28.0,54.56,26.69,,31.5,,25.0,34.75,25.56,35.63,,20.88,72.25,,30.63,28.56
1998-01-27,57.63,32.75,,18.75,76.44,,,44.81,34.81,,20.13,60.38,43.38,27.19,54.69,25.0,,32.25,,25.75,35.13,25.69,35.69,,21.63,71.88,,31.0,28.56
1998-01-28,58.0,34.06,,19.94,76.13,,,44.5,35.06,,20.06,59.19,45.44,26.56,54.38,25.62,,32.56,,25.94,35.56,25.38,34.81,,22.13,74.38,,31.75,28.56
1998-01-29,59.25,34.63,,20.0,76.94,,,43.5,35.88,,20.25,60.75,47.25,26.63,55.38,26.25,,33.5,,27.81,37.88,25.56,34.88,,21.94,76.06,,31.38,28.69
1998-01-30,59.0,33.13,,19.81,74.75,,,44.0,34.88,,20.0,59.31,44.94,25.56,54.69,26.12,,33.56,,26.5,36.38,25.5,34.19,,21.69,73.69,,31.56,28.5
1998-02-02,59.25,33.56,,19.75,75.63,,,44.81,34.56,,19.38,60.5,44.38,24.56,55.25,25.88,,33.5,,27.19,35.94,25.56,35.19,,21.31,73.31,,31.81,28.56
1998-02-03,61.25,32.94,,20.25,75.94,,,45.0,34.69,,19.63,60.81,44.5,25.75,56.5,26.12,,32.75,,28.19,36.06,25.81,36.38,,21.5,73.94,,32.5,29.0
1998-02-04,63.38,33.5,,20.31,76.0,,,45.19,34.38,,20.25,61.56,47.75,27.56,57.56,26.0,,34.06,,29.69,36.63,25.88,35.94,,21.31,76.75,,32.31,28.63
1998-02-05,64.44,34.13,,19.94,77.13,,,44.56,34.0,,20.5,61.94,48.69,28.25,57.63,26.12,,33.0,,31.38,37.31,25.88,36.63,,22.0,77.0,,33.06,28.56
1998-02-06,64.88,35.0,,20.25,77.69,,,44.81,34.44,,21.0,62.0,48.19,28.25,58.5,26.12,,33.44,,32.0,37.69,26.13,36.75,,22.38,76.88,,33.0,28.75
1998-02-09,62.69,34.94,,19.81,76.44,,,44.0,34.88,,20.81,62.0,47.0,28.31,57.75,26.25,,33.87,,31.38,36.69,25.81,35.56,,22.06,75.38,,33.25,29.31
