,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BRK.B,BLK,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,RE,FITB,FRC,BEN,GS,HIG,HBAN,ICE,IVZ,JEF,JPM,KEY,LNC,L,MTB,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,STI,SIVB,SYF,TROW,TMK,TRV,USB,UNM,WFC,WLTW,ZION
1998-01-02,28.81,50.19,91.13,88.69,110.1,,58.13,34.19,,60.75,57.19,63.12,1529.0,,54.25,,40.25,75.94,136.1,53.5,,,91.0,,22.94,40.5,81.5,,87.94,,92.31,36.75,,86.25,33.94,110.62,70.31,78.13,104.3,461.0,74.56,,23.25,58.75,,,69.69,37.5,56.38,,119.1,,38.81,42.56,,57.81,71.0,53.75,,62.19,42.19,82.06,112.63,54.19,38.19,,45.5
1998-01-05,28.94,50.31,89.88,88.88,109.4,,57.56,34.44,,62.44,58.56,62.94,1555.0,,54.0,,40.44,75.19,135.0,53.13,,,91.25,,25.31,40.63,82.75,,88.56,,92.44,37.38,,84.0,33.94,112.44,70.5,78.38,104.1,448.0,75.06,,23.12,60.88,,,70.06,36.94,56.63,,117.8,,39.94,43.5,,57.75,71.69,54.63,,63.38,42.44,83.06,112.19,52.94,37.81,,46.38
1998-01-06,28.94,50.31,88.94,87.06,108.9,,58.13,34.31,,61.63,57.69,62.25,1559.0,,54.44,,40.0,77.75,134.6,53.38,,,88.44,,24.59,40.13,82.63,,90.25,,92.06,36.94,,83.25,34.5,107.19,68.25,78.0,104.9,450.0,76.38,,23.25,60.0,,,68.63,37.0,55.13,,118.1,,39.94,42.13,,56.69,70.75,55.09,,62.5,42.0,81.75,110.0,52.38,37.44,,45.63
1998-01-07,27.25,49.81,89.0,86.25,107.9,,58.31,34.25,,62.0,56.81,61.38,1573.0,,53.0,,39.56,75.94,133.4,51.63,,,86.88,,24.94,38.88,80.88,,87.75,,91.69,35.94,,83.06,34.38,108.38,66.94,76.63,104.0,444.0,74.5,,24.5,58.5,,,66.5,36.37,53.88,,117.7,,38.5,41.25,,54.88,69.25,55.0,,61.63,41.94,81.44,106.44,52.5,36.81,,44.88
1998-01-08,27.56,48.5,88.13,84.5,107.3,,57.25,33.81,,61.38,55.13,60.38,1590.0,,53.06,,38.88,73.94,130.6,50.25,,,85.0,,24.44,37.13,80.0,,86.81,,90.31,35.31,,83.25,34.63,104.19,65.75,75.38,103.8,437.0,73.38,,24.5,58.94,,,65.5,35.75,52.38,,116.8,,38.25,40.44,,54.94,68.06,54.31,,59.75,41.44,79.69,104.75,51.94,37.44,,41.5
1998-01-09,27.44,47.38,84.5,82.0,103.2,,55.0,33.88,,59.0,53.63,59.56,1572.0,,52.31,,36.0,71.0,127.3,47.69,,,83.5,,22.87,36.56,79.0,,83.13,,89.5,33.38,,81.5,34.44,101.87,64.5,72.88,100.3,435.06,70.94,,24.12,56.0,,,63.19,34.94,50.94,,112.9,,35.75,39.75,,51.5,66.0,51.75,,54.88,39.19,75.69,103.31,49.63,35.69,,39.56
1998-01-12,27.63,47.38,85.44,81.75,101.2,,56.0,33.75,,58.06,53.38,59.0,1562.0,,52.88,,36.69,71.44,131.0,47.25,,,83.5,,22.62,37.38,79.0,,81.88,,90.38,33.75,,79.38,34.19,102.62,64.25,73.19,103.4,429.0,71.81,,23.75,55.0,,,63.25,34.75,50.56,,113.7,,35.0,39.13,,52.5,67.38,50.44,,53.38,39.94,77.56,103.0,50.56,36.62,,40.5
1998-01-13,28.31,46.94,88.13,82.81,101.0,,56.5,34.13,,58.06,54.94,59.81,1572.0,,53.94,,39.0,73.13,135.0,49.63,,,84.38,,22.84,38.0,80.5,,82.88,,91.31,34.25,,79.13,35.0,103.63,64.88,73.31,105.1,434.75,72.38,,23.38,55.94,,,65.13,36.25,52.19,,117.0,,37.25,38.13,,55.63,68.19,50.38,,57.5,40.69,78.25,107.44,51.0,36.19,,40.75
1998-01-14,28.88,48.0,89.06,83.38,100.6,,55.69,34.0,,60.81,55.69,60.19,1569.0,,55.06,,38.19,75.19,132.1,50.25,,,86.25,,22.75,38.0,76.0,,83.69,,91.69,34.75,,79.06,34.69,104.38,65.94,74.06,106.4,438.0,72.94,,24.12,56.56,,,63.5,35.81,52.81,,117.8,,36.94,39.63,,56.75,69.44,53.0,,58.75,41.44,77.94,109.69,51.5,37.31,,42.25
1998-01-15,29.5,47.94,87.75,81.38,100.5,,54.94,33.75,,60.13,54.88,59.5,1572.0,,59.56,,36.0,75.56,132.5,49.75,,,85.94,,22.56,38.19,75.81,,82.38,,90.0,33.88,,79.5,34.81,103.25,65.38,73.69,104.6,444.0,71.69,,24.0,55.44,,,63.38,35.87,51.81,,118.1,,35.69,39.56,,54.94,68.44,56.5,,56.88,42.38,78.0,108.25,51.0,37.0,,44.44
1998-01-16,29.5,48.06,88.63,82.0,101.5,,55.88,33.94,,61.44,56.63,59.56,1587.0,,59.69,,36.38,75.31,132.3,50.69,,,88.0,,22.87,37.38,76.75,,42.0,,91.25,34.13,,80.5,35.0,105.5,65.88,74.38,105.0,445.0,73.25,,23.88,56.19,,,63.75,36.5,52.19,,118.0,,35.75,40.13,,54.94,69.5,57.38,,58.12,41.94,78.13,110.13,51.13,37.06,,44.06
1998-01-20,30.25,49.25,89.56,82.44,103.9,,57.31,34.94,,62.81,57.5,60.0,1632.0,,60.75,,36.5,78.25,133.8,50.75,,,91.13,,23.31,37.19,77.5,,41.69,,93.63,34.88,,79.81,35.06,107.19,66.81,76.38,103.9,442.06,74.81,,24.0,58.19,,,65.0,37.37,52.38,,120.5,,35.25,40.0,,55.88,69.94,57.06,,59.75,42.75,85.13,109.31,52.0,37.62,,43.94
1998-01-21,30.25,49.56,89.0,81.63,104.3,,56.06,35.0,,60.88,56.25,59.19,1668.0,,59.88,,36.06,78.0,132.8,50.0,,,88.69,,23.94,37.31,77.88,,41.38,,90.94,34.13,,78.06,35.44,105.13,64.63,75.5,103.0,440.06,73.63,,23.62,58.19,,,63.94,36.87,51.31,,117.0,,34.5,39.81,,54.94,68.56,56.25,,58.56,43.0,84.56,107.62,51.0,36.31,,44.0
1998-01-22,30.06,49.25,86.88,80.06,104.9,,56.13,35.69,,59.69,55.25,58.44,1650.0,,58.06,,34.88,77.88,129.4,48.31,,,88.25,,23.69,37.44,78.0,,39.75,,91.25,33.25,,78.13,35.0,104.25,64.88,75.81,101.6,437.5,72.56,,23.5,54.94,,,62.38,35.75,51.0,,116.1,,33.44,39.63,,54.63,67.75,54.94,,55.81,42.19,86.75,106.63,49.75,36.12,,43.44
1998-01-23,30.06,48.88,87.06,79.06,106.6,,55.06,36.75,,59.19,53.88,58.06,1647.0,,57.25,,34.56,77.63,127.6,48.0,,,86.81,,22.0,36.88,76.13,,38.5,,90.0,32.63,,77.75,34.75,103.25,63.63,75.56,100.1,437.5,72.38,,23.38,54.06,,,61.5,35.62,50.13,,114.8,,32.69,38.63,,54.75,67.5,54.88,,54.75,41.63,87.88,106.25,49.0,35.56,,43.13
1998-01-26,30.13,48.63,86.56,79.38,108.0,,54.81,35.88,,59.63,55.25,58.31,1644.0,,59.31,,34.75,77.69,126.3,47.06,,,87.06,,20.25,35.5,76.0,,38.88,,90.0,33.13,,77.75,34.56,102.13,63.56,75.56,99.88,430.5,71.94,,23.75,54.19,,,64.38,34.94,49.94,,114.7,,32.44,38.78,,55.06,68.75,55.0,,54.25,41.56,87.31,106.56,49.0,35.62,,42.5
1998-01-27,29.75,49.19,85.13,83.5,111.1,,55.69,36.88,,61.25,54.88,58.88,1664.0,,61.56,,34.88,77.69,127.8,49.38,,,90.31,,19.91,36.88,77.81,,39.38,,89.69,32.0,,77.63,34.81,105.25,65.31,76.69,100.9,445.0,72.38,,23.75,55.19,,,64.88,35.06,51.19,,116.7,,32.63,39.06,,56.13,69.81,54.88,,54.88,42.44,86.69,107.81,48.13,36.25,,43.5
1998-01-28,29.75,49.25,87.0,82.94,111.3,,55.69,37.13,,60.44,54.94,59.5,1670.0,,63.06,,36.63,77.75,127.3,50.13,,,91.25,,20.44,38.25,78.19,,41.38,,90.0,32.88,,81.25,34.81,106.0,65.38,76.63,102.0,457.0,72.81,,24.0,57.44,,,70.0,35.0,51.56,,107.1,,34.13,39.75,,56.0,70.63,53.0,,56.88,42.0,86.94,108.37,49.0,36.56,,43.19
