,ABT,ABBV,ABMD,A,ALXN,ALGN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,BMY,CAH,CELG,CNC,CERN,CI,COO,CVS,DHR,DVA,XRAY,EW,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,IQV,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,NKTR,PKI,PRGO,PFE,DGX,REGN,RMD,SYK,TFX,TMO,UNH,UHS,VAR,VRTX,WAT,WCG,ZBH,ZTS
1998-01-02,67.44,,16.25,,11.88,,32.31,57.81,53.94,,50.13,50.0,33.87,46.25,94.63,76.44,8.625,,22.0,172.3,40.38,63.69,62.5,27.13,29.75,,38.13,,35.25,21.19,21.13,16.06,,42.75,,,65.06,1.813,68.94,106.5,50.06,107.6,17.0,20.06,25.69,20.88,14.13,75.69,17.13,8.875,28.0,37.25,37.06,43.19,49.69,49.56,50.0,33.38,37.56,,,
1998-01-05,67.81,,16.31,,11.88,,33.75,57.38,53.75,,50.88,50.25,34.0,47.0,95.81,77.75,9.0,,23.75,172.2,40.5,65.63,62.75,27.0,28.63,,39.0,,34.0,21.25,21.25,15.88,,42.25,,,65.0,1.813,71.94,52.75,51.25,108.3,16.75,20.06,27.88,21.81,14.25,79.81,16.94,9.0,28.0,37.56,37.06,42.31,49.62,49.25,51.19,33.13,36.56,,,
1998-01-06,66.69,,16.5,,12.0,,33.38,56.31,53.13,,50.69,50.19,35.0,46.13,96.38,77.5,9.063,,24.56,172.1,40.62,62.94,63.0,26.75,29.13,,39.13,,34.38,21.44,20.75,15.75,,41.0,,,64.0,1.688,70.69,51.75,50.06,106.8,16.69,19.81,31.38,21.25,13.88,77.25,16.63,8.5,28.0,37.44,37.19,42.06,49.88,49.06,50.38,32.88,39.25,,,
1998-01-07,67.13,,17.06,,12.0,,32.69,56.88,53.19,,50.94,49.81,34.25,46.25,96.44,76.75,9.625,,21.44,169.8,41.5,63.25,64.44,26.06,28.63,,38.88,,34.5,21.19,21.75,15.88,,40.88,,,64.63,1.625,69.31,51.5,49.63,105.1,16.56,20.19,31.0,20.88,13.69,78.13,16.38,8.25,28.0,37.0,37.0,41.19,50.31,49.06,49.5,32.63,38.06,,,
1998-01-08,68.0,,17.38,,11.75,,33.44,57.19,53.38,,51.0,50.63,35.25,49.25,94.31,74.25,9.125,,21.63,170.5,41.94,62.31,64.75,25.25,28.44,,39.5,,34.25,20.13,20.81,14.88,,40.25,,,65.38,1.75,68.5,52.06,48.94,106.2,17.25,20.44,32.0,21.19,13.81,77.63,16.38,8.25,28.25,37.0,36.19,40.19,50.5,48.94,49.19,33.13,41.19,,,
1998-01-09,67.25,,16.25,,12.13,,31.44,55.38,52.63,,50.0,49.56,35.94,47.31,89.81,70.94,8.75,,20.19,170.1,40.19,62.19,61.0,24.5,27.06,,38.38,,32.5,20.13,19.63,13.38,,39.38,,,64.63,1.688,66.63,50.63,47.56,102.9,16.88,20.0,30.81,19.69,13.38,73.94,16.0,8.688,28.0,35.94,35.31,39.94,49.5,48.63,47.5,32.81,40.19,,,
1998-01-12,69.56,,16.25,,12.0,,30.81,53.75,52.94,,48.69,49.5,35.0,45.88,92.5,72.13,8.875,,19.88,171.6,39.88,63.0,60.31,23.75,27.0,,37.0,,30.13,19.75,20.0,12.88,,36.0,,,65.94,1.563,68.25,49.94,46.69,106.2,17.0,19.44,29.25,20.44,12.63,76.44,16.06,8.375,28.5,36.19,35.75,39.5,48.62,49.0,48.5,31.88,40.56,,,
1998-01-13,69.81,,15.75,,13.0,,30.75,54.63,51.94,,48.69,49.63,37.38,44.25,92.06,71.81,8.625,,21.25,172.12,41.38,63.0,60.25,24.38,27.5,,38.5,,30.88,21.25,19.75,13.56,,38.0,,,66.38,1.563,67.94,50.69,46.31,106.3,18.75,19.69,30.69,20.44,12.94,77.31,16.06,8.375,28.5,36.44,35.56,40.44,48.0,49.94,49.56,33.0,40.44,,,
1998-01-14,70.0,,16.25,,13.0,,31.81,55.69,50.0,,49.88,50.63,39.0,43.25,92.0,71.06,8.813,,21.13,172.6,41.94,65.0,59.94,24.88,27.88,,37.75,,30.75,21.63,20.38,13.88,,40.13,,,66.5,1.75,68.38,52.06,46.94,109.9,18.25,20.44,29.75,21.0,12.75,77.81,16.13,8.563,28.5,38.13,35.56,40.5,48.88,49.5,49.81,34.5,40.75,,,
1998-01-15,69.44,,16.38,,13.5,,31.81,57.06,49.0,,50.19,52.31,39.25,43.06,92.0,70.94,8.438,,21.0,170.6,42.19,64.5,59.63,24.88,28.31,,38.38,,31.0,20.88,19.94,13.81,,41.0,,,65.69,1.625,67.0,52.81,45.63,108.7,18.0,20.38,29.94,20.94,12.88,75.81,16.31,8.375,28.5,37.69,35.31,40.25,47.0,48.38,48.69,35.63,40.81,,,
1998-01-16,70.06,,16.75,,13.5,,33.38,57.94,49.0,,52.0,55.0,38.75,46.56,93.44,71.0,8.625,,21.31,170.6,43.94,65.63,59.56,24.94,28.75,,39.13,,32.75,21.13,20.19,14.38,,43.25,,,67.75,1.688,67.0,51.75,47.56,109.8,17.75,19.5,30.88,21.19,12.88,77.0,16.44,8.125,28.75,37.56,35.62,40.5,48.12,48.19,49.81,36.5,41.0,,,
1998-01-20,71.44,,16.0,,13.25,,33.13,56.75,49.94,,51.38,55.19,43.25,47.25,96.69,71.5,9.0,,22.0,175.9,46.06,67.25,59.38,25.0,30.0,,39.94,,34.38,21.0,20.0,14.13,,45.03,,,69.31,2.0,69.63,51.25,49.25,115.5,18.0,19.38,30.75,22.44,12.81,80.81,16.31,8.5,29.38,37.63,35.56,41.0,47.94,48.25,49.13,36.5,41.25,,,
1998-01-21,70.69,,16.0,,14.38,,33.0,58.19,49.56,,50.44,56.5,42.38,48.5,94.5,70.63,8.75,,22.25,175.2,47.5,65.69,59.19,24.94,29.38,,38.0,,34.0,20.5,19.94,14.44,,44.25,,,68.13,2.188,69.31,51.25,48.31,114.0,18.12,19.0,29.25,22.94,12.44,79.0,16.13,7.875,29.25,36.88,35.62,40.56,47.94,47.81,47.94,35.75,42.19,,,
1998-01-22,70.25,,15.75,,13.0,,33.31,58.0,47.13,,50.13,58.5,42.0,48.69,95.63,70.0,8.688,,21.5,176.6,45.75,65.31,59.0,24.88,29.25,,38.25,,34.38,20.25,19.81,14.5,,43.5,,,67.25,2.125,67.88,52.06,48.63,112.6,17.75,19.38,29.31,22.75,12.38,78.63,16.31,7.938,29.25,36.63,35.25,40.06,48.0,47.38,48.69,35.75,42.0,,,
1998-01-23,69.88,,16.38,,13.0,,35.19,56.69,48.5,,50.19,60.25,42.0,49.31,97.44,71.25,8.438,,20.56,174.5,45.69,64.63,59.56,24.81,28.88,,38.44,,34.63,20.75,19.5,14.75,,43.5,,,66.88,2.063,66.88,50.38,47.94,112.9,18.12,18.25,29.81,23.06,12.25,78.06,16.13,7.938,30.12,36.38,35.12,39.44,47.31,47.44,48.06,36.75,42.63,,,
1998-01-26,69.19,,16.44,,12.56,,35.06,57.63,48.69,,51.19,59.0,41.0,48.94,97.19,72.38,7.875,,20.38,175.3,46.06,64.38,59.56,24.0,29.13,,38.31,,33.94,20.75,19.75,14.88,,42.75,,,67.19,2.063,66.31,50.31,47.63,114.0,17.88,17.94,29.69,23.62,12.13,77.75,16.19,7.5,29.5,36.0,35.25,39.06,46.81,46.88,47.81,36.5,42.94,,,
1998-01-27,70.88,,16.5,,13.13,,35.19,56.25,49.13,,51.06,61.69,41.56,50.06,97.5,72.5,8.0,,21.81,174.6,46.5,64.88,60.0,23.25,29.88,,39.19,,33.13,20.5,19.94,15.13,,42.88,,,67.44,1.875,66.38,49.63,47.94,114.5,17.62,17.81,30.75,23.69,12.44,78.69,16.69,7.438,29.5,36.31,35.0,39.5,48.0,46.19,49.5,37.25,46.0,,,
1998-01-28,70.94,,16.25,,12.38,,36.0,57.56,50.31,,51.94,61.88,42.75,51.0,99.81,76.38,8.375,,22.06,175.0,47.81,66.19,61.44,22.88,30.0,,41.88,,33.38,20.5,20.06,15.5,,43.75,,,66.88,2.0,68.13,50.38,50.19,117.6,17.75,17.88,32.75,24.44,12.16,79.81,16.94,7.125,31.75,36.88,34.69,39.69,48.75,46.56,50.75,38.25,47.0,,,
1998-01-29,71.88,,16.44,,13.13,,35.81,57.0,49.44,,53.19,63.25,42.87,51.44,101.5,78.0,8.875,,22.13,173.3,47.75,65.81,61.88,24.31,30.13,,42.0,,34.0,19.75,20.13,14.25,,44.0,,,66.88,2.0,67.94,49.19,50.69,117.9,17.62,17.75,33.75,24.31,12.13,81.44,16.69,7.0,31.88,37.0,36.12,38.75,49.5,46.56,51.31,39.0,46.0,,,
