,MMM,ALK,ALLE,AAL,AME,AOS,ARNC,BA,CHRW,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FTV,FBHS,GD,GE,GWW,HRS,HON,HII,INFO,ITW,IR,JEC,JBHT,JCI,KSU,LLL,LMT,MAS,NLSN,NSC,NOC,PCAR,PH,PNR,PWR,RTN,RSG,RHI,ROK,ROL,ROP,SNA,LUV,SWK,TXT,TDG,UNP,UAL,UPS,URI,UTX,VRSK,WAB,WM,XYL
1998-01-02,83.5,,,,26.44,42.88,71.25,48.88,23.13,49.0,40.0,18.13,53.75,59.81,57.44,,35.88,87.44,56.56,35.31,39.0,40.75,60.81,27.5,,,,85.81,74.0,97.63,45.0,39.5,,,59.5,41.06,25.56,18.63,44.75,31.44,,98.0,50.69,,30.25,114.9,51.94,45.69,34.75,,52.25,,39.38,53.75,20.44,29.0,42.38,24.25,45.56,62.63,,62.25,,,20.06,73.13,,24.94,38.71,
1998-01-05,83.38,,,,26.38,42.62,72.5,48.63,22.5,49.69,42.31,18.0,54.06,59.75,56.44,,36.06,88.88,57.25,34.69,38.38,42.69,61.13,26.56,,,,87.06,75.31,97.75,45.31,39.0,,,59.38,40.0,25.63,18.69,45.5,30.75,,98.69,51.0,,31.0,116.0,53.88,45.38,36.88,,51.44,,38.56,52.94,20.5,27.75,42.19,25.38,45.38,62.19,,62.31,,,18.81,73.06,,25.62,38.34,
1998-01-06,83.63,,,,27.0,42.44,70.8752,47.88,21.69,49.31,40.88,17.94,54.5,58.75,56.25,,36.06,90.25,56.69,34.88,38.25,41.0,63.88,27.13,,,,86.88,74.31,98.31,44.94,39.19,,,58.56,40.25,25.94,18.75,45.5,31.19,,99.0,50.63,,31.0,116.2,53.0,45.56,36.62,,50.06,,38.06,53.56,20.19,26.31,42.13,24.5,44.19,60.94,,61.69,,,19.38,72.25,,25.5,38.78,
1998-01-07,84.31,,,,26.25,42.12,71.0,48.13,22.25,48.44,41.5,17.88,54.75,58.13,55.56,,35.25,90.38,57.25,34.25,37.38,40.0,64.63,27.38,,,,87.0,74.94,98.31,43.63,39.0,,,57.69,39.88,25.81,18.31,44.56,30.81,,104.1,50.94,,31.5,122.5,50.81,46.31,36.88,,48.62,,37.94,52.0,20.13,27.94,42.25,25.44,44.19,59.94,,63.38,,,18.88,72.0,,25.0,38.53,
1998-01-08,83.31,,,,26.38,41.44,68.0,46.38,23.0,46.81,43.69,17.75,54.19,55.56,53.81,,34.88,91.19,57.38,35.31,36.63,39.06,64.88,27.81,,,,86.38,74.25,98.31,44.81,38.5,,,55.69,39.0,25.81,18.38,44.38,29.88,,101.6,51.0,,30.75,120.0,49.25,47.63,36.75,,49.0,,36.63,50.88,20.88,28.13,41.56,25.0,44.13,60.0,,63.0,,,18.44,71.38,,24.94,37.46,
1998-01-09,82.63,,,,25.88,40.5,66.25,45.13,22.0,45.44,42.63,17.56,51.87,52.38,50.81,,34.06,86.06,56.75,33.62,36.19,34.88,62.56,27.13,,,,85.0,72.44,93.88,43.31,37.19,,,53.56,36.94,25.0,17.5,43.0,28.12,,99.88,50.13,,30.0,117.4,48.56,44.38,36.0,,46.75,,35.25,48.75,20.37,25.63,40.63,24.0,42.94,58.25,,60.13,,,18.25,68.5,,24.5,36.84,
1998-01-12,82.81,,,,25.38,40.31,66.1252,45.38,21.38,46.44,41.38,17.38,52.69,53.69,52.69,,34.25,87.69,57.88,34.12,35.0,35.94,62.5,26.63,,,,86.19,74.44,95.38,42.69,36.25,,,53.31,37.31,25.25,17.5,44.13,28.12,,100.5,49.94,,30.5,117.4,48.16,45.94,35.81,,47.81,,35.5,48.94,19.81,25.31,40.44,25.0,44.0,58.81,,61.44,,,17.81,69.69,,23.38,35.97,
1998-01-13,84.13,,,,26.13,40.63,66.0,45.06,21.75,46.06,41.56,17.5,53.13,53.63,51.94,,34.06,89.06,58.81,34.0,34.63,36.97,63.25,26.94,,,,86.94,74.69,94.81,43.88,36.75,,,52.62,38.19,25.94,17.75,44.69,29.0,,100.3,51.0,,30.75,117.6,48.13,47.06,35.75,,48.81,,37.94,50.63,19.81,25.81,39.63,25.13,43.69,59.25,,60.63,,,19.88,70.94,,23.0,36.09,
1998-01-14,84.06,,,,26.5,42.06,66.1876,46.25,21.44,46.38,41.0,17.44,53.25,54.56,53.0,,35.25,90.31,60.81,34.0,34.44,37.13,62.63,27.88,,,,85.63,74.37,96.81,44.13,37.88,,,55.62,38.63,26.44,17.75,44.88,29.69,,99.94,50.81,,30.44,117.6,49.63,47.0,36.06,,49.44,,37.06,50.94,20.0,27.69,40.0,24.94,43.88,58.94,,60.13,,,20.63,72.38,,23.31,36.84,
1998-01-15,82.5,,,,25.75,41.81,65.9376,44.13,21.5,45.5,40.25,18.13,52.88,54.69,51.5,,34.75,90.69,61.69,33.81,34.0,38.25,63.5,27.25,,,,85.31,72.69,94.88,43.56,36.62,,,54.88,38.75,26.19,17.69,45.38,28.44,,99.44,51.0,,30.19,117.0,49.38,48.44,35.69,,50.44,,37.19,51.63,19.94,27.06,40.06,24.56,43.56,58.25,,59.69,,,21.13,70.88,,23.25,37.84,
