,ACN,ADBE,AMD,AKAM,ADS,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,ADP,AVGO,BR,CDNS,CSCO,CTXS,CTSH,GLW,DXC,FFIV,FIS,FISV,FLT,FLIR,FTNT,IT,GPN,HPE,HPQ,INTC,IBM,INTU,IPGP,JKHY,JNPR,KEYS,KLAC,LRCX,MA,MXIM,MCHP,MU,MSFT,MSI,NTAP,NVDA,ORCL,PAYX,PYPL,QRVO,QCOM,RHT,CRM,STX,SWKS,SYMC,SNPS,TEL,TXN,TSS,VRSN,V,WDC,WU,XRX,XLNX
1998-01-02,,40.5,19.31,,,56.0,27.56,7.0,16.25,31.0,,37.5,60.0,,,24.94,58.06,74.88,,38.38,,,,49.25,,19.75,,36.88,,,64.56,72.63,105.62,40.63,,27.25,,,40.5,30.5,,33.63,30.0,27.88,131.13,58.13,32.0,,23.0,49.0,,,51.81,,,,15.75,21.88,35.06,,47.81,25.25,,,17.25,,74.88,38.63
1998-01-05,,41.06,19.31,,,55.88,28.81,7.125,15.88,33.13,,38.25,60.81,,,25.13,57.94,70.88,,40.19,,,,49.38,,20.12,,36.06,,,64.13,74.5,106.44,40.13,,28.06,,,42.75,29.88,,34.25,31.88,27.88,130.38,59.5,33.75,,23.38,49.44,,,52.38,,,,15.13,23.88,34.81,,48.31,26.19,,,18.0,,75.94,37.75
1998-01-06,,42.44,19.88,,,55.0,27.63,7.438,18.94,31.25,,39.38,60.94,,,24.5,57.19,74.38,,39.94,,,,48.44,,19.62,,35.25,,,64.31,73.13,105.25,39.88,,27.88,,,39.06,26.0,,33.44,30.31,26.88,131.13,58.75,33.63,,22.69,48.25,,,51.94,,,,16.37,23.88,33.06,,47.31,25.38,,,17.5,,75.31,37.38
1998-01-07,,41.81,19.0,,,54.75,26.44,7.438,17.5,29.5,,38.0,60.13,,,23.88,55.5,72.0,,39.81,,,,48.5,,18.75,,35.62,,,64.88,72.75,104.25,38.25,,27.81,,,37.0,25.44,,32.13,27.69,26.5,129.56,58.25,30.5,,21.13,48.0,,,47.88,,,,16.62,23.25,32.44,,45.63,25.69,,,17.25,,72.69,35.81
1998-01-08,,42.19,18.94,,,54.5,26.56,7.438,18.19,29.31,,38.88,59.88,,,24.31,56.13,71.0,,40.25,,,,48.31,,19.25,,35.0,,,65.19,74.31,104.19,37.56,,27.88,,,36.56,24.56,,32.0,26.75,28.38,130.5,57.75,30.75,,20.31,47.94,,,48.38,,,,16.12,22.5,32.0,,44.31,24.63,,,16.38,,71.13,36.13
1998-01-09,,41.25,18.25,,,54.13,25.0,7.688,18.19,28.0,,35.94,58.69,,,23.31,54.25,67.06,,38.38,,,,46.5,,19.0,,33.38,,,62.0,71.88,100.06,35.13,,26.13,,,34.75,22.75,,30.06,26.19,27.5,127.0,55.5,28.0,,18.75,47.5,,,46.44,,,,15.25,21.38,31.38,,41.63,24.0,,,15.69,,68.44,34.63
1998-01-12,,40.75,17.75,,,53.69,25.0,7.5,18.25,28.06,,35.75,59.94,,,22.75,55.69,69.25,,37.94,,,,47.69,,19.0,,34.12,,,62.19,75.63,100.12,35.06,,25.63,,,34.25,23.25,,29.69,25.5,28.63,129.5,54.5,27.75,,18.06,46.5,,,47.06,,,,15.06,20.88,33.13,,42.5,23.75,,,15.06,,68.38,34.06
1998-01-13,,40.25,20.88,,,53.25,26.5,7.5,19.5,29.94,,36.38,60.13,,,23.75,56.0,71.88,,38.0,,,,48.25,,20.0,,34.62,,,63.88,76.94,102.12,40.13,,26.25,,,38.31,25.19,,30.56,25.25,32.0,132.13,57.5,29.13,,19.06,47.31,,,48.69,,,,16.25,23.25,34.0,,47.25,24.06,,,16.44,,70.38,37.25
1998-01-14,,38.88,18.44,,,54.38,25.0,7.75,19.75,29.44,,37.38,60.0,,,23.13,57.0,73.5,,38.0,,,,48.0,,19.38,,33.88,,,63.0,75.44,102.62,38.5,,26.63,,,36.5,24.88,,32.5,27.63,31.13,131.13,56.94,28.13,,19.56,49.72,,,48.69,,,,18.5,23.44,34.63,,46.25,23.38,,,15.94,,70.88,36.88
1998-01-15,,39.25,18.06,,,55.69,26.38,8.188,19.19,29.81,,37.88,59.19,,,24.06,57.44,74.25,,37.25,,,,50.5,,20.0,,34.62,,,64.0,75.31,103.44,36.94,,27.56,,,38.44,23.88,,33.0,27.75,31.56,132.31,55.88,27.63,,19.25,46.31,,,46.0,,,,17.75,23.19,33.88,,45.75,23.44,,,16.44,,70.44,36.38
1998-01-16,,39.25,17.81,,,54.75,26.63,8.375,18.81,29.75,,38.19,59.5,,,23.44,57.88,73.5,,37.56,,,,51.0,,19.78,,34.75,,,63.75,74.81,105.0,36.88,,28.63,,,36.94,23.75,,35.25,21.88,28.63,135.25,56.13,28.0,,19.44,46.63,,,46.0,,,,17.37,23.25,34.5,,45.19,23.38,,,15.88,,71.25,35.63
1998-01-20,,39.63,18.56,,,55.44,27.56,8.188,19.06,30.75,,38.06,61.25,,,24.88,59.5,77.75,,37.13,,,,52.13,,19.75,,37.75,,,64.06,76.25,108.37,39.63,,29.13,,,40.44,25.19,,36.5,23.19,30.06,137.81,57.44,28.88,,20.25,49.94,,,47.5,,,,18.0,23.75,35.63,,46.25,23.25,,,17.19,,73.25,38.25
1998-01-21,,39.06,18.56,,,57.31,26.75,8.375,18.91,32.25,,37.88,61.06,,,24.75,59.38,75.0,,36.5,,,,52.0,,19.5,,37.38,,,63.06,76.69,100.12,40.0,,30.75,,,37.69,25.13,,37.75,22.88,32.13,137.0,57.81,29.38,,20.13,50.0,,,54.13,,,,18.5,23.75,35.13,,48.0,23.44,,,19.13,,72.5,36.75
1998-01-22,,38.5,18.38,,,58.0,25.81,8.125,19.25,30.19,,37.5,61.0,,,25.31,57.75,71.25,,36.0,,,,52.13,,19.5,,36.88,,,62.13,76.5,99.37,39.0,,30.75,,,36.13,22.88,,37.31,23.06,32.69,138.63,56.56,29.25,,19.94,50.88,,,53.0,,,,19.31,22.63,34.75,,46.75,23.75,,,18.69,,72.13,35.13
1998-01-23,,38.25,18.13,,,57.69,26.88,8.188,19.5,30.56,,38.56,60.56,,,25.0,57.69,67.38,,35.69,,,,52.38,,19.0,,37.0,,,61.63,77.19,99.19,37.63,,30.75,,,37.63,23.25,,37.13,23.0,32.06,138.25,55.25,29.13,,19.44,48.38,,,54.44,,,,19.37,23.19,34.13,,48.38,23.81,,,18.31,,76.75,35.88
1998-01-26,,37.38,18.94,,,57.13,25.75,8.063,19.44,30.25,,38.13,60.56,,,24.81,56.63,65.06,,35.5,,,,51.06,,19.0,,36.5,,,61.5,77.69,98.12,36.81,,30.69,,,36.0,21.63,,34.31,22.91,31.13,141.75,56.69,28.88,,18.94,47.5,,,51.88,,,,19.37,22.06,34.0,,48.75,23.06,,,17.63,,75.31,35.63
1998-01-27,,37.38,18.75,,,56.63,26.19,8.563,19.12,30.81,,37.75,60.63,,,25.0,59.25,67.06,,35.88,,,,51.75,,18.62,,36.38,,,63.38,79.19,96.5,37.25,,32.88,,,36.63,22.44,,34.81,22.81,32.38,145.19,56.88,28.69,,19.0,47.13,,,52.5,,,,19.37,22.44,33.25,,51.5,23.44,,,16.81,,79.31,36.25
1998-01-28,,37.94,19.19,,,55.38,27.56,8.625,19.19,32.75,,36.81,60.31,,,28.56,61.88,69.5,,32.31,,,,52.88,,18.5,,36.38,,,63.38,80.88,97.0,39.88,,32.69,,,37.88,23.13,,36.88,22.88,34.63,149.0,59.88,29.03,,21.19,48.88,,,53.94,,,,19.87,23.81,33.44,,55.31,24.5,,,18.13,,80.63,38.5
