,APD,ALB,AVY,BLL,CE,CF,DOW,DWDP,EMN,ECL,FMC,FCX,IP,IFF,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,VMC,WRK
1998-01-02,83.56,24.06,44.38,35.31,,,,,60.13,55.56,67.69,15.94,45.1875,51.31,,,37.0,33.5,30.0,49.06,,57.5,61.75,27.88,101.2,
1998-01-05,83.63,24.06,44.06,35.13,,,,,60.25,56.06,67.5,15.75,46.125,50.88,,,37.13,32.06,28.56,48.5,,57.94,62.44,27.69,102.1,
1998-01-06,81.81,23.75,44.0,34.5,,,,,60.13,55.56,67.5,15.5,46.3125,46.94,,,37.25,31.75,28.81,46.75,,57.69,61.81,28.31,100.9,
1998-01-07,80.88,23.31,43.88,34.13,,,,,59.38,55.44,66.38,15.69,46.0,46.25,,,37.06,31.38,28.38,46.63,,57.63,60.75,28.0,99.13,
1998-01-08,79.81,23.06,42.81,33.69,,,,,59.13,55.0,65.75,15.19,44.75,45.5,,,37.31,31.25,26.69,46.63,,56.88,59.19,27.0,97.75,
1998-01-09,76.69,22.38,41.56,31.19,,,,,58.31,54.38,62.63,14.38,42.6875,44.25,,,36.31,29.69,25.31,44.5,,54.25,56.81,26.5,95.0,
1998-01-12,77.5,22.69,41.81,32.63,,,,,58.63,54.19,64.13,14.0,41.9375,44.5,,,36.31,30.31,23.88,46.0,,54.25,56.0,26.69,94.88,
1998-01-13,76.81,22.75,42.38,32.0,,,,,58.0,54.13,63.75,14.56,42.625,44.0,,,36.88,30.5,25.25,45.25,,53.31,55.81,26.75,96.19,
1998-01-14,77.31,22.13,42.75,30.94,,,,,58.69,54.13,64.0,14.38,42.9375,44.25,,,36.63,30.75,24.94,45.25,,54.44,57.0,27.13,97.25,
1998-01-15,77.69,21.88,42.13,30.94,,,,,58.25,53.69,62.88,14.19,42.0,45.06,,,36.25,30.88,26.0,45.06,,55.19,57.69,27.19,97.88,
1998-01-16,78.88,21.94,43.25,31.69,,,,,59.56,27.81,64.0,14.19,43.625,45.5,,,36.5,31.06,27.06,46.44,,56.13,59.31,27.31,98.81,
1998-01-20,79.0,22.13,42.56,31.19,,,,,59.44,27.63,64.31,14.19,45.9375,45.0,,,36.5,31.56,26.5,47.88,,57.38,61.13,27.19,99.31,
1998-01-21,78.5,21.88,43.25,32.0,,,,,58.81,27.56,64.06,14.0,45.4375,45.44,,,36.0,31.62,27.19,47.63,,57.0,60.19,26.75,98.38,
1998-01-22,78.69,21.75,42.63,30.5,,,,,58.94,27.69,64.06,13.44,45.625,44.88,,,36.19,31.19,26.69,46.69,,56.56,59.63,26.75,96.88,
1998-01-23,78.38,21.5,42.44,30.63,,,,,58.63,27.38,64.38,13.94,44.6875,43.63,,,36.31,30.56,30.06,45.75,,54.38,59.63,26.31,97.94,
1998-01-26,79.13,21.31,43.13,31.31,,,,,58.69,27.38,64.69,14.0,45.625,43.75,,,36.31,31.0,28.56,45.81,,56.0,58.75,26.94,99.56,
1998-01-27,80.5,21.69,43.63,31.0,,,,,58.19,27.31,65.31,14.38,45.6875,43.5,,,36.25,30.94,29.06,46.38,,57.06,60.5,28.0,99.38,
1998-01-28,79.81,22.44,43.81,31.75,,,,,58.81,27.19,66.56,14.5,47.5,43.94,,,37.0,31.5,29.38,47.94,,56.63,62.0,28.63,97.94,
1998-01-29,79.69,21.88,44.25,32.25,,,,,60.0,27.0,67.19,14.94,47.6875,43.25,,,37.81,32.25,28.06,47.75,,56.75,62.25,29.0,99.0,
1998-01-30,80.19,22.13,44.88,32.5,,,,,59.56,27.38,67.25,14.69,45.6875,42.25,,,38.0,32.25,28.5,47.63,,57.38,62.88,28.63,98.5,
1998-02-02,83.56,22.69,45.81,32.0,,,,,60.44,27.63,68.19,14.75,47.625,43.75,,,38.88,33.94,28.0,49.44,,59.13,63.5,28.88,99.81,
1998-02-03,84.19,22.75,46.38,32.5,,,,,60.44,27.75,68.19,14.56,48.9375,44.0,,,38.0,34.38,26.38,50.38,,59.06,63.5,29.38,99.69,
1998-02-04,83.38,22.75,47.19,32.56,,,,,60.13,27.25,68.88,15.19,47.625,43.5,,,37.81,34.44,27.75,49.88,,59.63,63.69,29.13,101.1,
1998-02-05,83.94,23.13,47.25,32.44,,,,,60.06,27.44,69.94,15.06,47.0,43.81,,,38.0,34.75,27.75,49.38,,59.88,63.75,28.81,100.3,
1998-02-06,84.75,22.94,48.0,32.13,,,,,60.0,27.63,69.81,15.5,47.75,43.31,,,38.31,33.81,28.25,49.06,,61.5,62.94,29.06,100.5,
1998-02-09,82.88,23.25,49.56,32.19,,,,,60.44,27.69,68.75,15.88,47.75,43.06,,,38.75,33.25,28.94,48.69,,60.56,61.44,29.44,101.5,
1998-02-10,86.0,23.13,49.69,32.06,,,,,62.13,28.19,70.63,15.94,47.5625,44.19,,,39.13,33.94,28.19,48.88,,60.19,61.63,30.31,101.5,
1998-02-11,84.88,23.75,49.13,32.13,,,,,62.75,28.13,71.13,15.56,48.1875,44.13,,,39.0,34.0,27.75,49.06,,60.81,61.63,30.13,99.88,
1998-02-12,85.44,23.88,49.38,31.88,,,,,63.31,28.13,71.19,15.44,48.0625,44.25,,,38.5,34.0,28.5,49.25,,61.38,61.0,30.38,98.0,
1998-02-13,86.0,23.69,49.38,31.94,,,,,62.63,27.94,71.06,15.25,48.125,44.0,,,38.38,35.0,28.88,48.88,,60.44,60.25,30.25,98.0,
1998-02-17,86.19,23.69,51.0,32.19,,,,,62.69,28.31,70.13,14.81,48.5,44.06,,,37.5,36.19,27.56,48.38,,61.0,60.5,30.94,98.13,
1998-02-18,86.88,23.56,51.31,32.31,,,,,63.13,28.25,71.56,14.94,48.4375,44.63,,,37.81,36.38,27.5,48.13,,61.88,61.0,31.56,99.13,
1998-02-19,86.94,23.88,51.81,32.19,,,,,63.69,27.81,70.38,14.38,47.75,44.88,,,37.81,37.0,27.25,48.0,,61.19,60.56,31.56,100.2,
1998-02-20,87.56,24.0,54.25,32.19,,,,,64.13,28.44,71.0,14.13,48.125,45.88,,,37.56,37.06,26.94,48.31,,62.0,60.19,31.69,99.88,
1998-02-23,86.94,24.31,53.06,32.25,,,,,63.75,28.44,70.81,13.81,47.5,45.75,,,37.31,37.12,27.0,49.19,,62.75,60.19,31.31,99.69,
1998-02-24,84.81,23.88,50.13,32.25,,,,,63.88,28.31,70.38,13.88,47.0,45.5,,,37.25,36.75,26.63,49.81,,63.56,59.69,30.81,98.31,
1998-02-25,84.25,23.38,49.94,32.69,,,,,64.75,28.69,70.81,14.63,47.375,45.81,,,37.38,36.56,27.06,50.0,,63.13,61.0,31.06,99.81,
1998-02-26,84.25,24.31,49.25,32.81,,,,,65.25,28.75,71.75,14.63,46.9375,46.13,,,38.13,37.25,28.69,50.69,,65.63,64.31,31.88,100.5,
1998-02-27,83.94,24.38,50.5,32.63,,,,,65.5,28.81,72.38,15.06,46.625,46.0,,,38.06,38.19,29.0,51.5,,64.81,67.31,33.44,100.6,
1998-03-02,83.69,24.44,50.0,32.88,,,,,65.94,29.06,73.13,15.25,48.125,46.25,,,38.19,38.62,28.75,52.25,,64.44,67.31,33.63,101.8,
1998-03-03,84.0,25.0,50.94,33.0,,,,,66.63,29.0,72.69,14.81,48.0,45.75,,,38.13,38.81,28.19,52.81,,64.94,66.88,34.0,101.3,
1998-03-04,83.5,24.44,51.06,32.75,,,,,65.94,28.88,70.5,14.31,48.5,46.06,,,37.81,38.19,27.94,53.06,,65.19,66.25,34.06,99.75,
1998-03-05,82.31,24.94,50.81,32.81,,,,,65.38,28.56,70.81,14.25,47.875,46.38,,,38.63,37.62,27.13,52.5,,65.25,66.69,33.88,99.31,
1998-03-06,82.06,24.69,51.69,33.13,,,,,66.06,29.13,71.56,14.13,48.875,47.63,,,39.63,36.88,27.75,52.44,,65.5,67.19,34.81,102.1,
1998-03-09,82.31,24.56,51.44,32.5,,,,,65.81,28.81,71.38,14.31,50.0625,48.06,,,39.88,37.0,28.69,51.94,,65.25,66.75,34.31,102.4,
1998-03-10,82.31,25.0,51.88,33.19,,,,,66.06,28.75,72.56,14.25,50.4375,48.06,,,40.94,37.06,28.81,52.19,,65.44,69.5,34.19,104.4,
1998-03-11,81.56,24.88,51.75,33.25,,,,,66.13,29.0,73.19,13.94,51.875,47.75,,,43.13,36.94,27.88,53.19,,65.5,68.75,34.38,103.4,
1998-03-12,82.31,24.69,52.19,32.81,,,,,65.5,28.44,72.88,14.0,51.625,47.0,,,43.0,37.12,27.94,52.81,,65.44,68.19,33.81,105.1,
1998-03-13,81.5,24.63,51.31,32.63,,,,,65.69,28.19,72.81,14.5,51.0,47.13,,,43.63,37.19,27.94,53.5,,64.5,68.06,34.25,104.6,
1998-03-16,82.38,25.19,51.38,32.63,,,,,66.13,28.38,73.38,15.5,52.5625,46.88,,,44.56,37.0,27.81,52.88,,66.88,68.06,35.06,106.2,
1998-03-17,82.75,25.0,51.63,32.69,,,,,66.94,29.13,74.25,16.5,51.75,47.44,,,46.69,36.75,27.0,55.5,,65.44,68.81,34.81,108.8,
1998-03-18,83.25,24.88,52.13,32.38,,,,,67.25,29.13,73.44,16.31,50.0,47.81,,,46.94,37.0,27.0,56.0,,66.06,67.81,34.5,110.6,
1998-03-19,83.25,25.0,52.25,31.88,,,,,67.25,29.0,74.38,16.88,50.0,46.81,,,47.06,37.12,27.19,56.75,,66.69,66.38,34.94,111.1,
1998-03-20,82.75,25.19,52.38,31.5,,,,,67.19,28.69,74.88,16.69,49.875,47.13,,,46.13,36.94,26.5,56.94,,66.63,66.75,34.63,110.4,
1998-03-23,83.38,25.25,52.75,31.88,,,,,67.13,28.75,75.25,17.69,49.625,45.88,,,44.69,37.06,28.88,56.63,,67.5,66.81,34.5,110.8,
1998-03-24,83.69,25.63,52.94,31.75,,,,,67.25,28.75,75.88,19.06,49.125,45.63,,,44.63,36.94,28.56,56.38,,67.69,66.38,34.88,111.2,
1998-03-25,83.5,25.19,53.31,32.38,,,,,67.25,28.38,76.31,19.31,49.0625,46.44,,,43.31,37.62,28.63,55.94,,67.63,67.19,34.88,113.5,
1998-03-26,82.63,24.81,52.81,32.5,,,,,67.31,28.38,76.94,19.13,48.9375,46.63,,,43.19,38.38,30.88,55.81,,67.88,66.5,34.69,110.0,
1998-03-27,82.0,24.75,52.0,32.75,,,,,66.88,28.31,77.94,20.13,48.5625,47.0,,,44.5,38.5,31.13,55.25,,67.0,66.25,34.5,109.3,
1998-03-30,81.69,25.0,52.5,32.75,,,,,66.75,28.44,78.0,20.44,48.75,47.0,,,43.44,37.75,30.63,54.75,,66.44,66.19,34.56,109.5,
1998-03-31,82.88,25.25,53.38,32.75,,,,,67.44,29.0,78.5,19.94,46.875,47.13,,,43.19,38.06,30.56,54.44,,67.94,65.5,35.63,109.5,
1998-04-01,82.5,25.56,53.94,33.25,,,,,67.75,29.44,80.81,19.13,48.5625,47.38,,,43.75,38.69,30.0,55.75,,68.75,64.69,37.0,111.6,
